name,harness,primary_bucket_id,primary_bucket,secondary_bucket_ids,secondary_buckets,capability_family,family_relation,adoption_scope,canonical_path,line_count,description
idea-refine,agent-skills,1,"Discovery, Requirements & Decisions",,,requirements-elicitation,substitutes,in-scope,skills/idea-refine/SKILL.md,178,"Refines raw ideas into sharp, actionable concepts through structured divergent and convergent thinking. Use when an idea is still vague, when you need to stress-test assumptions before committing to a plan, or when you want to expand options before converging on one. Triggers on ""ideate"", ""refine this idea"", or ""stress-test my plan""."
interview-me,agent-skills,1,"Discovery, Requirements & Decisions",,,requirements-elicitation,substitutes,in-scope,skills/interview-me/SKILL.md,225,"Extracts what the user actually wants instead of what they think they should want. Achieves this through one-question-at-a-time interview until ~95% confidence about the underlying intent. Use when an ask is underspecified (""build me X"" without ""for whom"" or ""why now""), when the user explicitly invokes (""interview me"", ""grill me"", ""are we sure?"", ""stress-test my thinking""), or when you catch yourself silently filling in ambiguous requirements before any plan, spec, or code exists."
spec-driven-development,agent-skills,1,"Discovery, Requirements & Decisions",2,Planning & Work Management,spec-authoring,substitutes,in-scope,skills/spec-driven-development/SKILL.md,206,"Creates specs before coding. Use when starting a new project, feature, or significant change and no specification exists yet. Use when requirements are unclear, ambiguous, or only exist as a vague idea."
grill-me,mattpocock_skills,1,"Discovery, Requirements & Decisions",,,grilling,genus,in-scope,skills/productivity/grill-me/SKILL.md,7,A relentless interview to sharpen a plan or design.
grill-with-docs,mattpocock_skills,1,"Discovery, Requirements & Decisions",13,Engineering Research & Durable Documentation,grilling,genus,in-scope,skills/engineering/grill-with-docs/SKILL.md,7,"A relentless interview to sharpen a plan or design, which also creates docs (ADR's and glossary) as we go."
grilling,mattpocock_skills,1,"Discovery, Requirements & Decisions",,,grilling,genus,in-scope,skills/productivity/grilling/SKILL.md,22,"Grill the user relentlessly about a plan, decision, or idea. Use when the user wants to stress-test their thinking, or uses any 'grill' trigger phrases."
loop-me,mattpocock_skills,1,"Discovery, Requirements & Decisions",11,Harness Routing & Agent-System Authoring,grilling,genus,in-scope,skills/in-progress/loop-me/SKILL.md,32,"Grill me about specs for the workflows I want to build, within this workspace."
to-questionnaire,mattpocock_skills,1,"Discovery, Requirements & Decisions",10; 14,"Orchestration, Handoff & Context Continuity; Human Learning, Content & Conversation",human-in-the-loop,genus,in-scope,skills/productivity/to-questionnaire/SKILL.md,53,Turn a decision you can't fully answer into a questionnaire for someone else to fill in.
to-spec,mattpocock_skills,1,"Discovery, Requirements & Decisions",2,Planning & Work Management,spec-authoring,substitutes,in-scope,skills/engineering/to-spec/SKILL.md,75,"Turn the current conversation into a spec and publish it to the project issue tracker — no interview, just synthesis of what you've already discussed."
brainstorming,superpowers,1,"Discovery, Requirements & Decisions",,,requirements-elicitation,substitutes,in-scope,skills/brainstorming/SKILL.md,151,"You MUST use this before any creative work - creating features, building components, adding functionality, or modifying behavior. Explores user intent, requirements and design before implementation."
planning-and-task-breakdown,agent-skills,2,Planning & Work Management,,,task-decomposition,genus,in-scope,skills/planning-and-task-breakdown/SKILL.md,234,"Breaks work into ordered tasks. Use when you have a spec or clear requirements and need to break work into implementable tasks. Use when a task feels too large to start, when you need to estimate scope, or when parallel work is possible."
to-tickets,mattpocock_skills,2,Planning & Work Management,,,task-decomposition,genus,in-scope,skills/engineering/to-tickets/SKILL.md,105,"Break a plan, spec, or the current conversation into a set of tracer-bullet tickets, each declaring its blocking edges, published to the configured tracker — edges as text in one file per ticket locally, or native blocking links on a real tracker."
triage,mattpocock_skills,2,Planning & Work Management,7,Review & Completion Assurance,issue-state-management,singleton,in-scope,skills/engineering/triage/SKILL.md,112,"Move issues and external PRs through a state machine of triage roles — categorise, verify, grill if needed, and write agent-ready briefs."
wayfinder,mattpocock_skills,2,Planning & Work Management,1,"Discovery, Requirements & Decisions",task-decomposition,genus,in-scope,skills/engineering/wayfinder/SKILL.md,128,"Plan a huge chunk of work — more than one agent session can hold — as a shared map of decision tickets on your issue tracker, and resolve them one at a time until the way to the destination is clear."
writing-plans,superpowers,2,Planning & Work Management,,,plan-authoring,singleton,in-scope,skills/writing-plans/SKILL.md,168,"Use when you have a spec or requirements for a multi-step task, before touching code"
api-and-interface-design,agent-skills,3,Architecture & Modeling,,,interface-design,genus,in-scope,skills/api-and-interface-design/SKILL.md,294,"Guides stable API and interface design. Use when designing APIs, module boundaries, or any public interface. Use when creating REST or GraphQL endpoints, defining type contracts between modules, or establishing boundaries between frontend and backend."
codebase-design,mattpocock_skills,3,Architecture & Modeling,,,interface-design,genus,in-scope,skills/engineering/codebase-design/SKILL.md,114,"Shared vocabulary for designing deep modules. Use when the user wants to design or improve a module's interface, find deepening opportunities, decide where a seam goes, make code more testable or AI-navigable, or when another skill needs the deep-module vocabulary."
