primary_bucket_id,primary_bucket,name,harness,capability_family,family_relation,repo_path,line_count,description
1,"Discovery, Requirements & Decisions",grill-me,mattpocock_skills,grilling,genus,reference_harnesses/mattpocock_skills/skills/productivity/grill-me/SKILL.md,7,A relentless interview to sharpen a plan or design.
1,"Discovery, Requirements & Decisions",grill-with-docs,mattpocock_skills,grilling,genus,reference_harnesses/mattpocock_skills/skills/engineering/grill-with-docs/SKILL.md,7,"A relentless interview to sharpen a plan or design, which also creates docs (ADR's and glossary) as we go."
1,"Discovery, Requirements & Decisions",grilling,mattpocock_skills,grilling,genus,reference_harnesses/mattpocock_skills/skills/productivity/grilling/SKILL.md,22,"Grill the user relentlessly about a plan, decision, or idea. Use when the user wants to stress-test their thinking, or uses any 'grill' trigger phrases."
1,"Discovery, Requirements & Decisions",to-questionnaire,mattpocock_skills,human-in-the-loop,genus,reference_harnesses/mattpocock_skills/skills/productivity/to-questionnaire/SKILL.md,53,Turn a decision you can't fully answer into a questionnaire for someone else to fill in.
1,"Discovery, Requirements & Decisions",brainstorming,superpowers,requirements-elicitation,substitutes,reference_harnesses/superpowers/skills/brainstorming/SKILL.md,151,"You MUST use this before any creative work - creating features, building components, adding functionality, or modifying behavior. Explores user intent, requirements and design before implementation."
1,"Discovery, Requirements & Decisions",idea-refine,agent-skills,requirements-elicitation,substitutes,reference_harnesses/agent-skills/skills/idea-refine/SKILL.md,178,"Refines raw ideas into sharp, actionable concepts through structured divergent and convergent thinking. Use when an idea is still vague, when you need to stress-test assumptions before committing to a plan, or when you want to expand options before converging on one. Triggers on ""ideate"", ""refine this idea"", or ""stress-test my plan""."
1,"Discovery, Requirements & Decisions",interview-me,agent-skills,requirements-elicitation,substitutes,reference_harnesses/agent-skills/skills/interview-me/SKILL.md,225,"Extracts what the user actually wants instead of what they think they should want. Achieves this through one-question-at-a-time interview until ~95% confidence about the underlying intent. Use when an ask is underspecified (""build me X"" without ""for whom"" or ""why now""), when the user explicitly invokes (""interview me"", ""grill me"", ""are we sure?"", ""stress-test my thinking""), or when you catch yourself silently filling in ambiguous requirements before any plan, spec, or code exists."
1,"Discovery, Requirements & Decisions",spec-driven-development,agent-skills,spec-authoring,substitutes,reference_harnesses/agent-skills/skills/spec-driven-development/SKILL.md,206,"Creates specs before coding. Use when starting a new project, feature, or significant change and no specification exists yet. Use when requirements are unclear, ambiguous, or only exist as a vague idea."
1,"Discovery, Requirements & Decisions",to-spec,mattpocock_skills,spec-authoring,substitutes,reference_harnesses/mattpocock_skills/skills/engineering/to-spec/SKILL.md,75,"Turn the current conversation into a spec and publish it to the project issue tracker — no interview, just synthesis of what you've already discussed."
2,Planning & Work Management,triage,mattpocock_skills,issue-state-management,singleton,reference_harnesses/mattpocock_skills/skills/engineering/triage/SKILL.md,112,"Move issues and external PRs through a state machine of triage roles — categorise, verify, grill if needed, and write agent-ready briefs."
2,Planning & Work Management,writing-plans,superpowers,plan-authoring,singleton,reference_harnesses/superpowers/skills/writing-plans/SKILL.md,168,"Use when you have a spec or requirements for a multi-step task, before touching code"
2,Planning & Work Management,planning-and-task-breakdown,agent-skills,task-decomposition,genus,reference_harnesses/agent-skills/skills/planning-and-task-breakdown/SKILL.md,234,"Breaks work into ordered tasks. Use when you have a spec or clear requirements and need to break work into implementable tasks. Use when a task feels too large to start, when you need to estimate scope, or when parallel work is possible."
2,Planning & Work Management,to-tickets,mattpocock_skills,task-decomposition,genus,reference_harnesses/mattpocock_skills/skills/engineering/to-tickets/SKILL.md,105,"Break a plan, spec, or the current conversation into a set of tracer-bullet tickets, each declaring its blocking edges, published to the configured tracker — edges as text in one file per ticket locally, or native blocking links on a real tracker."
2,Planning & Work Management,wayfinder,mattpocock_skills,task-decomposition,genus,reference_harnesses/mattpocock_skills/skills/engineering/wayfinder/SKILL.md,128,"Plan a huge chunk of work — more than one agent session can hold — as a shared map of decision tickets on your issue tracker, and resolve them one at a time until the way to the destination is clear."
3,Architecture & Modeling,improve-codebase-architecture,mattpocock_skills,architecture-audit,singleton,reference_harnesses/mattpocock_skills/skills/engineering/improve-codebase-architecture/SKILL.md,71,"Scan a codebase for deepening opportunities, present them as a visual HTML report, then grill through whichever one you pick."
3,Architecture & Modeling,prototype,mattpocock_skills,design-validation,singleton,reference_harnesses/mattpocock_skills/skills/engineering/prototype/SKILL.md,26,"Build a throwaway prototype to answer a design question. Use when the user wants to sanity-check whether a state model or logic feels right, or explore what a UI should look like."
3,Architecture & Modeling,domain-modeling,mattpocock_skills,domain-language,singleton,reference_harnesses/mattpocock_skills/skills/engineering/domain-modeling/SKILL.md,74,"Build and sharpen a project's domain model. Use when the user wants to pin down domain terminology or a ubiquitous language, record an architectural decision, or when another skill needs to maintain the domain model."
3,Architecture & Modeling,api-and-interface-design,agent-skills,interface-design,genus,reference_harnesses/agent-skills/skills/api-and-interface-design/SKILL.md,294,"Guides stable API and interface design. Use when designing APIs, module boundaries, or any public interface. Use when creating REST or GraphQL endpoints, defining type contracts between modules, or establishing boundaries between frontend and backend."
3,Architecture & Modeling,codebase-design,mattpocock_skills,interface-design,genus,reference_harnesses/mattpocock_skills/skills/engineering/codebase-design/SKILL.md,114,"Shared vocabulary for designing deep modules. Use when the user wants to design or improve a module's interface, find deepening opportunities, decide where a seam goes, make code more testable or AI-navigable, or when another skill needs the deep-module vocabulary."
4,Implementation & Refactoring,source-driven-development,agent-skills,doc-grounded-build,singleton,reference_harnesses/agent-skills/skills/source-driven-development/SKILL.md,216,"Grounds every implementation decision in official documentation. Use when you want authoritative, source-cited code free from outdated patterns. Use when building with any framework or library where correctness matters."
4,Implementation & Refactoring,frontend-ui-engineering,agent-skills,frontend-build,singleton,reference_harnesses/agent-skills/skills/frontend-ui-engineering/SKILL.md,328,"Builds production-quality, accessible, responsive user-facing UIs. Use when building or modifying interfaces and pages, creating components, implementing layouts, meeting WCAG accessibility requirements, managing state, or when the output needs to look and feel production-quality rather than AI-generated."
