name,harness,primary_bucket_id,primary_bucket,secondary_bucket_ids,secondary_buckets,capability_family,family_relation,adoption_scope,canonical_path,line_count,description
brainstorming,ours,1,"Discovery, Requirements & Decisions",,,requirements-elicitation,singleton,in-scope,.claude/skills/brainstorming/SKILL.md,83,"Use for standard or deep feature work when requirements are ambiguous, exploratory, or not yet approved for implementation. Also use when an ask is underspecified — missing who it is for, why now, what success looks like, or the binding constraint — before any plan or spec exists."
grill-me,ours,1,"Discovery, Requirements & Decisions",,,grilling,singleton,in-scope,.claude/skills/grill-me/SKILL.md,128,"Relentless design-review interviewer that systematically interrogates every aspect of a plan, architecture, or design document. Use this skill whenever the user says ""grill me"", ""interview me about this"", ""poke holes in my design"", ""stress test this plan"", ""challenge my architecture"", ""what am I missing"", ""help me think through this"", ""walk through my design"", ""question my assumptions"", or any variant where they want an adversarial-but-constructive deep dive into a plan, spec, proposal, or system design. Also trigger when the user uploads a design doc, architecture diagram, or technical spec and asks for critique, review, or thorough questioning. This skill is about exhaustive interrogation, not surface-level feedback — it goes branch by branch through every decision until nothing is left unexamined."
perspective-council,ours,1,"Discovery, Requirements & Decisions",7,Review & Completion Assurance,adversarial-scrutiny,complements,in-scope,.claude/skills/perspective-council/SKILL.md,45,"Use ONLY when the user explicitly asks for the council: 'council this', 'run the council', 'perspective council', 'war room this', 'pressure-test this', 'stress-test this', 'debate this'. Never trigger on ordinary decision questions — 'should I X or Y', 'which option', 'is this the right move', 'I'm torn between' — answer those directly; the user will invoke the council themselves if they want it. If the user names specific council members and a judge, use model-council instead."
beads,ours,2,Planning & Work Management,,,issue-state-management,singleton,in-scope,.claude/skills/beads/SKILL.md,48,"Use when working in a repository that uses bd or Beads for durable project task tracking, issue dependencies, blocker management, multi-session handoff, or shared work memory. Trigger when the user asks to find ready work, claim or close tasks, create follow-up work, inspect blockers, or recover project context; also when starting a new task or implementation, choosing what to work on next, or wrapping up a work session."
planning,ours,2,Planning & Work Management,,,plan-authoring,singleton,in-scope,.claude/skills/planning/SKILL.md,33,Use when approved requirements or a clear multi-step request need a durable implementation plan before coding.
prepare-phases,ours,2,Planning & Work Management,1,"Discovery, Requirements & Decisions",task-decomposition,singleton,in-scope,.codex/skills/prepare-phases/SKILL.md,80,"Turn input documents or research notes into a Beads-backed workstream: brainstorm, roadmap, and seeded epics/stages. Use when asked to prepare phase execution, convert research into a workstream, or create Beads-backed implementation phases."
ak-guide,ours,4,Implementation & Refactoring,,,coding-standards,singleton,in-scope,.claude/skills/ak-guide/SKILL.md,10,"Behavioral guidelines to reduce common LLM coding mistakes. Use when writing, reviewing, or refactoring code to avoid overcomplication, make surgical changes, surface assumptions, and define verifiable success criteria."
graph-first,ours,4,Implementation & Refactoring,10,"Orchestration, Handoff & Context Continuity",code-navigation,singleton,in-scope,mvp-harness/plugins/code-intel/skills/graph-first/SKILL.md,57,"Token-cheap navigation, search, and editing of large codebases across sessions. Use when finding where a symbol is defined or used, tracing call paths / impact / blast radius, doing concept or natural-language code search, renaming or editing symbols, applying structural codemods, or enforcing structural lint rules — query the code graph (serena / CBM) or ast-grep BEFORE reading whole files, and stop on bounded evidence."
phase-execution,ours,4,Implementation & Refactoring,2,Planning & Work Management,plan-execution,pipeline,in-scope,.claude/skills/phase-execution/SKILL.md,110,"Execute a development phase from a workstream roadmap, following the full cycle (plan, Codex critique, implement, verify, review) with beads as the work-state anchor."
run-phases,ours,4,Implementation & Refactoring,10,"Orchestration, Handoff & Context Continuity",plan-execution,pipeline,in-scope,.codex/skills/run-phases/SKILL.md,38,Execute all remaining phases of a Beads-backed workstream sequentially with context management. Use when the user explicitly asks to run every incomplete phase from a roadmap after workstream tracking is bootstrapped.
