id,kind,category,name,harness,canonical_path,line_count,asset_count,assets,description
skill:skills/create-beads-orchestration,skill,skills,create-beads-orchestration,The-Claude-Protocol,skills/create-beads-orchestration/SKILL.md,263,0,,Bootstrap lean multi-agent orchestration with beads task tracking. Use for projects needing agent delegation without heavy MCP overhead.
skill:templates/skills/react-best-practices,skill,skills,react-best-practices,The-Claude-Protocol,templates/skills/react-best-practices/SKILL.md,487,0,,React and Next.js performance optimization patterns. Use BEFORE implementing any React code to ensure best practices are followed.
skill:skills/subagents-discipline,skill,skills,subagents-discipline,The-Claude-Protocol,skills/subagents-discipline/SKILL.md,158,0,,Invoke at the start of any implementation task to enforce verification-first development
skill:templates/skills/subagents-discipline,skill,skills,subagents-discipline,The-Claude-Protocol,templates/skills/subagents-discipline/SKILL.md,127,0,,Core engineering principles for implementation tasks
skill:skills/api-and-interface-design,skill,skills,api-and-interface-design,agent-skills,skills/api-and-interface-design/SKILL.md,294,0,,"Guides stable API and interface design. Use when designing APIs, module boundaries, or any public interface. Use when creating REST or GraphQL endpoints, defining type contracts between modules, or establishing boundaries between frontend and backend."
skill:skills/browser-testing-with-devtools,skill,skills,browser-testing-with-devtools,agent-skills,skills/browser-testing-with-devtools/SKILL.md,317,0,,"Tests in real browsers via Chrome DevTools MCP. Use when building or debugging anything that runs in a browser. Use when you need to inspect the DOM, capture console errors, analyze network requests, profile performance, or verify visual output with real runtime data. Requires the chrome-devtools MCP server to be configured."
skill:skills/ci-cd-and-automation,skill,skills,ci-cd-and-automation,agent-skills,skills/ci-cd-and-automation/SKILL.md,390,0,,"Automates CI/CD pipeline setup. Use when setting up or modifying build and deployment pipelines. Use when you need to automate quality gates, configure test runners in CI, or establish deployment strategies."
skill:skills/code-review-and-quality,skill,skills,code-review-and-quality,agent-skills,skills/code-review-and-quality/SKILL.md,396,0,,"Conducts multi-axis code review. Use before merging any change. Use when reviewing code written by yourself, another agent, or a human. Use when you need to assess code quality across multiple dimensions before it enters the main branch."
skill:skills/code-simplification,skill,skills,code-simplification,agent-skills,skills/code-simplification/SKILL.md,331,0,,"Simplifies code for clarity. Use when refactoring code for clarity without changing behavior. Use when code works but is harder to read, maintain, or extend than it should be. Use when reviewing code that has accumulated unnecessary complexity."
skill:skills/context-engineering,skill,skills,context-engineering,agent-skills,skills/context-engineering/SKILL.md,289,0,,"Optimizes agent context setup. Use when starting a new session, when agent output quality degrades, when switching between tasks, or when you need to configure rules files and context for a project."
