id,kind,category,name,harnesses,in_ours,fable_useful,fable_reason,fable_tag,gpt_useful,gpt_reason,gpt_tag,consensus,agree,description
agent:adversarialdocumentreviewer,agent,document-review,adversarial-document-reviewer,compound-engineering-plugin,,yes,Adversarial review of high-stakes plan/design docs is language-neutral and valuable.,generic-workflow,yes,Generic rigorous requirements and architecture document review improves Python project planning quality.,docs,keep,yes,"Conditional document-review persona, selected when the document has >5 requirements or implementation units, makes significant architectural decisions, covers high-stakes domains, or proposes new abstractions. Challenges premises, surfaces unstated assumptions, and stress-tests decisions rather than evaluating document quality."
agent:adversarialreviewer,agent,review,adversarial-reviewer,compound-engineering-plugin,,yes,Failure-scenario code review for large/risky diffs is generic and high-value.,generic-workflow,yes,Generic high-risk code review persona helps catch failures in Python backend changes.,generic-workflow,keep,yes,"Conditional code-review persona, selected when the diff is large (>=50 changed lines) or touches high-risk domains like auth, payments, data mutations, or external APIs. Actively constructs failure scenarios to break the implementation rather than checking against known patterns."
agent:agentsdkverifierpy,agent,agents,agent-sdk-verifier-py,claude-plugins-official,,yes,Verifies Python Agent SDK apps; directly Python-specific and relevant.,python,yes,Directly Python-specific verification for Agent SDK applications and deployment readiness.,python,keep,yes,"Use this agent to verify that a Python Agent SDK application is properly configured, follows SDK best practices and documentation recommendations, and is ready for deployment or testing. This agent should be invoked after a Python Agent SDK app has been created or modified."
agent:apicontractreviewer,agent,review,api-contract-reviewer,compound-engineering-plugin,,yes,Breaking-contract review for API routes/serialization applies fully to Python services.,generic-workflow,yes,Generic API contract review is valuable for Python services and libraries.,generic-workflow,keep,yes,"Conditional code-review persona, selected when the diff touches API routes, request/response types, serialization, versioning, or exported type signatures. Reviews code for breaking contract changes."
agent:architect,agent,agents,architect,everything-claude-code,,yes,System design and architecture guidance is language-neutral and broadly useful.,generic-workflow,yes,"Generic architecture planning applies well to Python systems, refactors, and scalability decisions.",generic-workflow,keep,yes,"Software architecture specialist for system design, scalability, and technical decision-making. Use PROACTIVELY when planning new features, refactoring large systems, or making architectural decisions."
agent:architecturecritic,agent,agents,architecture-critic,claude-plugins-official,,yes,Adversarial check against over-engineering and simpler alternatives is generically valuable.,generic-workflow,yes,Generic adversarial architecture critique helps avoid over-engineering and missed requirements.,generic-workflow,keep,yes,"Reviews proposed target architectures and transformed code against modern best practice. Adversarial — looks for over-engineering, missed requirements, and simpler alternatives."
agent:architecturestrategist,agent,review,architecture-strategist,compound-engineering-plugin,,yes,Pattern-compliance and design-integrity review of changes is generic and useful.,generic-workflow,yes,Generic architectural PR review supports pattern consistency and design integrity.,generic-workflow,keep,yes,"Analyzes code changes from an architectural perspective for pattern compliance and design integrity. Use when reviewing PRs, adding services, or evaluating structural refactors."
agent:bestpracticesresearcher,agent,research,best-practices-researcher,compound-engineering-plugin,,yes,External best-practice research for any technology fits a Python-centric workflow.,generic-workflow,yes,Generic documentation and best-practice research helps with Python libraries and tooling decisions.,docs,keep,yes,"Researches and synthesizes external best practices, documentation, and examples for any technology or framework. Use when you need industry standards, community conventions, or implementation guidance."
agent:bugreproductionvalidator,agent,workflow,bug-reproduction-validator,compound-engineering-plugin,,yes,Systematic bug reproduction before fixing is language-neutral and high-value.,testing,yes,Generic bug reproduction workflow is highly useful before fixing Python issues.,testing,keep,yes,Systematically reproduces and validates bug reports to confirm whether reported behavior is an actual bug. Use when you receive a bug report or issue that needs verification.
agent:businessrulesextractor,agent,agents,business-rules-extractor,claude-plugins-official,,yes,Extracting testable business rules from legacy code applies to Python codebases.,generic-workflow,yes,Generic legacy-domain extraction into testable specs is useful for Python refactors.,generic-workflow,keep,yes,"Mines domain logic, calculations, validations, and policies from legacy code into testable Given/When/Then specifications. Use when you need to separate ""what the business requires"" from ""how the old code happened to implement it."
