harness,kind,category,name,covered,our_equivalent,similar_to,decision,path,description
agent-skills,agent,agents,code-reviewer,yes,agent:agents/code-reviewer,,adopted,agents/code-reviewer.md,"Senior code reviewer that evaluates changes across five dimensions — correctness, readability, architecture, security, and performance. Use for thorough code review before merge."
agent-skills,agent,agents,security-auditor,no,,,deferred,agents/security-auditor.md,"Security engineer focused on vulnerability detection, threat modeling, and secure coding practices. Use for security-focused code review, threat analysis, or hardening recommendations."
agent-skills,agent,agents,test-engineer,no,,,rejected,agents/test-engineer.md,"QA engineer specialized in test strategy, test writing, and coverage analysis. Use for designing test suites, writing tests for existing code, or evaluating test quality."
agent-skills,agent,agents,web-performance-auditor,no,,,deferred,agents/web-performance-auditor.md,"Web performance engineer focused on Core Web Vitals, loading, rendering, and network optimization. Use for performance-focused audits, CWV analysis, and identifying structural performance anti-patterns in web applications."
agent-skills,command,commands,build,no,,,rejected,.claude/commands/build.md,"Implement tasks incrementally — build, test, verify, commit. Add ""auto"" to run the whole plan in one approved pass."
agent-skills,command,commands,code-simplify,no,,codex-implement (64%),rejected,.claude/commands/code-simplify.md,Simplify code for clarity and maintainability — reduce complexity without changing behavior
agent-skills,command,commands,plan,no,,,rejected,.claude/commands/plan.md,Break work into small verifiable tasks with acceptance criteria and dependency ordering
agent-skills,command,commands,review,no,,codex-review (67%),rejected,.claude/commands/review.md,"Conduct a five-axis code review — correctness, readability, architecture, security, performance"
agent-skills,command,commands,ship,no,,,rejected,.claude/commands/ship.md,"Run the pre-launch checklist via parallel fan-out to specialist personas, then synthesize a go/no-go decision"
agent-skills,command,commands,spec,no,,,rejected,.claude/commands/spec.md,Start spec-driven development — write a structured specification before writing code
agent-skills,command,commands,test,no,,,rejected,.claude/commands/test.md,"Run TDD workflow — write failing tests, implement, verify. For bugs, use the Prove-It pattern."
agent-skills,command,commands,webperf,no,,,rejected,.claude/commands/webperf.md,Run a web performance audit via the web-performance-auditor persona
agent-skills,hook,hooks,sdd-cache-post.sh,no,,,rejected,hooks/sdd-cache-post.sh,
agent-skills,hook,hooks,sdd-cache-pre.sh,no,,,rejected,hooks/sdd-cache-pre.sh,
agent-skills,hook,hooks,session-start-test.sh,no,,,rejected,hooks/session-start-test.sh,
agent-skills,hook,hooks,session-start.sh,no,,,rejected,hooks/session-start.sh,
agent-skills,hook,hooks,simplify-ignore-test.sh,no,,,rejected,hooks/simplify-ignore-test.sh,
agent-skills,hook,hooks,simplify-ignore.sh,no,,,rejected,hooks/simplify-ignore.sh,
agent-skills,plugin,,agent-skills,no,,,rejected,.claude-plugin/plugin.json,
agent-skills,rule,rules,skills-contributing,no,,,rejected,.claude/rules/skills-contributing.md,Anti-duplication guardrail for adding or changing skills
agent-skills,skill,skills,api-and-interface-design,no,,,deferred,skills/api-and-interface-design/SKILL.md,"Guides stable API and interface design. Use when designing APIs, module boundaries, or any public interface. Use when creating REST or GraphQL endpoints, defining type contracts between modules, or establishing boundaries between frontend and backend."
agent-skills,skill,skills,browser-testing-with-devtools,no,,,deferred,skills/browser-testing-with-devtools/SKILL.md,"Tests in real browsers via Chrome DevTools MCP. Use when building or debugging anything that runs in a browser. Use when you need to inspect the DOM, capture console errors, analyze network requests, profile performance, or verify visual output with real runtime data. Requires the chrome-devtools MCP server to be configured."
agent-skills,skill,skills,ci-cd-and-automation,no,,,deferred,skills/ci-cd-and-automation/SKILL.md,"Automates CI/CD pipeline setup. Use when setting up or modifying build and deployment pipelines. Use when you need to automate quality gates, configure test runners in CI, or establish deployment strategies."
