cluster_id,priority,decision,recommended_capability,recommended_surface,source_count,average_score,selected_harnesses,source_ids,source_names,source_verdicts,source_average_scores,row_verdicts,problem_solved,why_this_is_better,reuse_or_merge_plan,risks_or_open_questions
C001-code-review-and-change-quality,P2,merge,Spec-aware code review and feedback discipline,agent,6,4.0,agent-skills; mattpocock_skills; superpowers,skill:receivingcodereview; skill:requestingcodereview; skill:review; agent:codereviewer; command:review; skill:codereviewandquality,receiving-code-review; requesting-code-review; review; code-reviewer; review; code-review-and-quality,skill:receivingcodereview:merge; skill:requestingcodereview:merge; skill:review:merge; agent:codereviewer:adopt; command:review:reject_after_review; skill:codereviewandquality:merge,skill:receivingcodereview:4.50; skill:requestingcodereview:3.67; skill:review:3.83; agent:codereviewer:4.33; command:review:3.83; skill:codereviewandquality:3.83,adopt:1; merge:4; reject_after_review:1,Review changes against project intent and engineering quality while evaluating incoming feedback critically before acting on it.,"The selected rows support one project-aware reviewer augmented with standards/spec checks, severity labeling, verification evidence, and disciplined feedback handling; duplicate launcher commands and broad review skills add routing noise.","Keep the existing code-review agent as the canonical surface and merge the standards-versus-spec check, review-request gate, feedback verification, and useful five-axis lenses into its risk-scaled workflow.","A universal five-axis checklist can create review theater, and mandatory pre-merge review can be excessive for small changes; trigger depth must remain proportional to scope and risk."
C002-debugging-and-bug-reproduction,P2,merge,Systematic root-cause debugging,skill,4,4.17,agent-skills; mattpocock_skills; superpowers,skill:diagnosingbugs; skill:qa; skill:systematicdebugging; skill:debugginganderrorrecovery,diagnosing-bugs; qa; systematic-debugging; debugging-and-error-recovery,skill:diagnosingbugs:merge; skill:qa:merge; skill:systematicdebugging:adopt; skill:debugginganderrorrecovery:merge,skill:diagnosingbugs:4.33; skill:qa:3.33; skill:systematicdebugging:5.00; skill:debugginganderrorrecovery:4.00,adopt:1; merge:3,"Reproduce failures, preserve evidence, isolate root causes, implement bounded fixes, and add regression protection before declaring resolution.","Systematic-debugging is already the strongest concise candidate; the other selected rows reinforce diagnosis and regression protection but substantially overlap it, while deprecated conversational QA belongs in issue tracking rather than the debugging core.",Retain systematic-debugging as canonical and merge only useful reproduce-localize-reduce-guard details from the adjacent skills; route conversational bug capture to Beads or GitHub workflows.,"Generic fallback examples can conceal missing configuration, and combining bug capture with diagnosis can blur whether the task is triage or root-cause analysis."
C010-phased-implementation-with-validation,P1,merge,Thin-slice incremental implementation,skill,1,3.83,agent-skills,skill:incrementalimplementation,incremental-implementation,skill:incrementalimplementation:merge,skill:incrementalimplementation:3.83,merge:1,"Deliver large changes through vertical or risk-first increments that remain testable, reviewable, and reversible after each step.","The selected evaluation identifies vertical slicing and per-increment verification as the durable gain, while existing phase and subagent execution already own the broader workflow.","Merge slice selection, explicit per-slice scope, and test/verify checkpoints into planning and phased execution; preserve repository-specific commit and rollout authority.",Unconditional commits and generic feature-flag rules exceed user authority or may not fit the repository; slice size must follow actual dependency and risk boundaries.
C011-prototyping-throwaway-validation,P3,merge,Throwaway prototype validation mode,existing brainstorming and planning skills,1,4.0,mattpocock_skills,skill:prototype,prototype,skill:prototype:merge,skill:prototype:4.00,merge:1,"Test uncertain business logic, command flows, or interface alternatives cheaply before committing to production architecture.",The selected evaluation supports a useful uncertainty-reduction mode but explicitly routes it through existing brainstorming and planning rather than justifying another standalone skill.,"Merge an opt-in prototype mode into brainstorming and planning, with a stated hypothesis, timebox, disposal plan, and prohibition on silently promoting prototype code to production.","Prototype code can become accidental production code, UI-oriented examples may not generalize, and a prototype is wasteful when a cheaper experiment or existing evidence answers the question."
C013-codex-cited-research,P2,merge,Version-aware official-documentation lookup,skill,1,4.0,agent-skills,skill:sourcedrivendevelopment,source-driven-development,skill:sourcedrivendevelopment:merge,skill:sourcedrivendevelopment:4.00,merge:1,Verify framework- and library-specific implementation choices against authoritative documentation for the versions actually used by the repository.,"The selected row supports dependency detection and narrow official-source verification, but its requirement to cite every framework pattern is broader than the risk and duplicates existing research routes.","Merge version detection, authoritative source selection, deprecation checks, and explicit uncertainty into the existing documentation-research route; require visible citations for consequential or disputed choices.","Official documentation can still be ambiguous or version-mismatched, and universal citation requirements add friction without proving that the resulting implementation works."
C016-architecture-codebase-and-domain-modeling,P2,merge,"Architecture, domain, and interface design review",skill,7,3.79,agent-skills; mattpocock_skills,skill:codebasedesign; skill:designaninterface; skill:domainmodeling; skill:grillme; skill:improvecodebasearchitecture; skill:ubiquitouslanguage; skill:apiandinterfacedesign,codebase-design; design-an-interface; domain-modeling; grill-me; improve-codebase-architecture; ubiquitous-language; api-and-interface-design,skill:codebasedesign:merge; skill:designaninterface:merge; skill:domainmodeling:merge; skill:grillme:adopt; skill:improvecodebasearchitecture:merge; skill:ubiquitouslanguage:defer; skill:apiandinterfacedesign:merge,skill:codebasedesign:4.00; skill:designaninterface:3.33; skill:domainmodeling:4.00; skill:grillme:4.83; skill:improvecodebasearchitecture:3.67; skill:ubiquitouslanguage:3.33; skill:apiandinterfacedesign:3.33,adopt:1; defer:1; merge:5,"Clarify domain vocabulary, module boundaries, public contracts, and competing architecture choices before consequential implementation.","The selected rows provide complementary lenses—deep modules, domain terminology, contract-first interfaces, alternative designs, architecture scanning, and adversarial review—but most overlap planning, grill-me, and architecture research.","Keep grill-me and existing planning/research routes, then merge contract validation, domain-language clarification, and bounded alternative-design prompts as selectable architecture-review lenses rather than new standalone skills.","Deprecated candidates, vague design vocabulary, TypeScript/REST defaults, and mandatory parallel exploration can add ceremony; select lenses only when the decision materially affects boundaries or compatibility."
C017-beads-workstreams-and-task-tracking,P2,merge,Beads issue decomposition and triage,skill,2,4.08,mattpocock_skills,skill:toissues; skill:triage,to-issues; triage,skill:toissues:merge; skill:triage:merge,skill:toissues:4.17; skill:triage:4.00,merge:2,"Convert approved plans into independently executable issue slices and turn incoming issues or pull requests into verified, agent-ready work briefs.","The two selected rows form one coherent tracker workflow—vertical decomposition followed by evidence-based triage—but both overlap existing Beads, planning, prepare-phases, GitHub, and grill-me capabilities.","Merge tracer-bullet issue creation and concise triage states into the Beads workflow, routing external pull-request operations through the existing GitHub path and using grill-me only for unresolved design choices.","A parallel state machine can diverge from Beads status, over-decomposition increases tracking cost, and generated briefs must preserve source requirements rather than inventing scope."
C018-code-intelligence-context-and-cost-controls,P2,merge,Selective task-context loading and conflict handling,skill,3,2.61,agent-skills,hook:sddcachepostsh; hook:sddcachepresh; skill:contextengineering,sdd-cache-post.sh; sdd-cache-pre.sh; context-engineering,hook:sddcachepostsh:reject_after_review; hook:sddcachepresh:reject_after_review; skill:contextengineering:merge,hook:sddcachepostsh:2.50; hook:sddcachepresh:2.33; skill:contextengineering:3.00,merge:1; reject_after_review:2,Load the smallest trustworthy context needed for a task and surface missing or conflicting information before work proceeds.,"The context-engineering row contributes useful context hierarchy and conflict handling, while both WebFetch cache hooks are weak, privacy-sensitive, prompt-insensitive mechanisms that should not be part of the capability.",Merge selective-loading and explicit-conflict practices into the existing project read order and context routes; reject both URL-keyed WebFetch cache hooks rather than adapting them.,"Overly aggressive context reduction can omit decisive evidence, while persistent prompt-shaped fetch results risk stale answers and private-data retention; context sufficiency remains a judgment call."
C020-documentation-research-and-reporting,P2,merge,Repository-routed architectural decision records,skill,1,4.0,agent-skills,skill:documentationandadrs,documentation-and-adrs,skill:documentationandadrs:merge,skill:documentationandadrs:4.00,merge:1,"Preserve architectural rationale, rejected alternatives, public-interface expectations, and lifecycle status for future engineers and agents.","The selected row's ADR template and lifecycle add durable decision context, but decision memory already overlaps design evolution, learnings, and Beads and must respect repository-specific document locations.","Merge a concise ADR trigger, rationale/alternatives template, and supersession lifecycle into existing documentation and design-memory workflows; route storage through each repository's docs index.","Unnecessary ADRs create documentation debt, duplicate memory systems drift, and records become misleading unless superseded decisions are updated and discoverable."
C022-git-github-and-release-workflows,P1,merge,Safe Git integration and conflict resolution,skill/hook,4,3.96,agent-skills; mattpocock_skills; superpowers,skill:finishingadevelopmentbranch; skill:gitguardrailsclaudecode; skill:resolvingmergeconflicts; skill:gitworkflowandversioning,finishing-a-development-branch; git-guardrails-claude-code; resolving-merge-conflicts; git-workflow-and-versioning,skill:finishingadevelopmentbranch:merge; skill:gitguardrailsclaudecode:merge; skill:resolvingmergeconflicts:adopt; skill:gitworkflowandversioning:merge,skill:finishingadevelopmentbranch:4.17; skill:gitguardrailsclaudecode:4.50; skill:resolvingmergeconflicts:4.50; skill:gitworkflowandversioning:2.67,adopt:1; merge:3,"Complete branches, resolve merge or rebase conflicts, and prevent destructive Git operations without exceeding the user's commit, push, merge, or cleanup authority.","The selected rows combine a distinct conflict-resolution workflow with useful branch-completion choices and mechanical guardrails, while the broad Git skill contains destructive recovery and unauthorized commit assumptions that must be excluded.","Use the focused conflict-resolution skill as the operational core, merge branch-completion choices into the existing GitHub flow, and adapt destructive-command blocking across supported runtimes while retaining conservative approval rules.","Hooks are runtime-specific, conflict resolution can silently change semantics, and no workflow may authorize reset, commit, push, merge, branch deletion, or cleanup without the governing user and repository policy."
