id,kind,category,name,harness,canonical_path,line_count,asset_count,assets,description
command:commands/codex,command,commands,codex,ours,commands/codex.md,20,0,,Delegate a task or question to OpenAI Codex (gpt-5.x) and relay its answer.
command:commands/codex-check,command,commands,codex-check,ours,commands/codex-check.md,22,0,,"Check that the Codex CLI is installed, on PATH, and authenticated for the adapter."
command:commands/codex-critique,command,commands,codex-critique,ours,commands/codex-critique.md,15,0,,"Get an independent Codex critique / second opinion on a decision, design, or plan (read-only)."
command:commands/codex-diagnose,command,commands,codex-diagnose,ours,commands/codex-diagnose.md,15,0,,Have Codex root-cause a failure without changing files (read-only).
command:commands/codex-implement,command,commands,codex-implement,ours,commands/codex-implement.md,15,0,,Have Codex make a bounded code change and verify it (edits the working tree).
command:commands/codex-research,command,commands,codex-research,ours,commands/codex-research.md,15,0,,"Have Codex research a question using web search, with citations (read-only)."
command:commands/codex-review,command,commands,codex-review,ours,commands/codex-review.md,20,0,,Run an adversarial Codex code review of the current changes (read-only).
command:commands/disable-for-project,command,commands,disable-for-project,ours,commands/disable-for-project.md,30,0,,"Explain how to turn the code-intel stack OFF for the current repo (so it doesn't start serena/CBM here), without affecting other projects."
command:commands/doctor,command,commands,doctor,ours,commands/doctor.md,32,0,,"Diagnose the code-intel stack — check that serena, CBM, and ast-grep resolve, whether this repo is indexed, and print fix-up exports if a binary is missing."
command:commands/index-repo,command,commands,index-repo,ours,commands/index-repo.md,33,0,,Index the current repo into CBM (and confirm serena activation) so graph queries work. Run once per repo; CBM auto-syncs after.
command:commands/setup,command,commands,setup,ours,commands/setup.md,46,0,,"One-time per-machine setup for the code-intel stack — auto-detect serena/CBM/ast-grep, wire up the CODE_INTEL_*_BIN env vars, and print install commands for anything missing."
